,STOCKS,CLOSE,RSI,MA50,BOLLINGER_HIGH,BOLLINGER_LOW,RSI_BUY_LEVEL,RSI_SELL_LEVEL,RSI_BUY_LIKELIHOOD,BOLLINGER_BUY_LIKELIHOOD
149,HSCL.NS,552.8499755859375,35.22265744655182,585.3059991455078,686.4498714173428,558.2451236998447,39.92926315789474,69.52699999999999,0.11787359292685409,0.00966447871169954
150,HUDCO.NS,193.99000549316406,27.933331735105625,245.91480041503905,245.62548147480592,193.74851907451048,35.93895384615385,69.7327213114754,0.22275612543755163,-0.0012463910424043564
151,ICICIBANK.NS,1255.449951171875,50.48847887106369,1247.6559936523438,1289.6624703513692,1214.7125296486308,41.6472,67.59147540983608,-0.21228987473500485,-0.03353667680947353
152,ICICIPRULI.NS,742.8499755859375,47.78287335481582,751.4400036621093,780.6273054175816,721.1876970238246,35.85076923076923,66.47395348837209,-0.33282700427542733,-0.03003694967552567
153,ICRA.NS,6911.7998046875,49.126686840129516,6668.663974609375,7329.963173992586,6776.2768650699145,42.12960606060606,64.7210243902439,-0.16608464768119888,-0.01999961665028385
154,IDBI.NS,82.66000366210938,46.49703677005853,88.75520034790038,88.43608507531994,77.3389156876195,37.74217391304348,63.68,-0.23196498636209764,-0.0688022055543465
155,IDEAFORGE.NS,606.2000122070312,25.817182373928006,691.5540014648437,719.5650834291541,619.6149153501428,29.4224,55.59326315789474,0.12253309132062626,0.021650387701740298
156,IDFCFIRSTB.NS,65.5,27.525459338895033,72.74479995727539,76.23952314984336,66.67047822344765,36.15736170212766,67.64822857142858,0.23873153230437957,0.017556169606654997
157,IEX.NS,180.75999450683594,34.75251910078744,203.84040130615233,215.7142801843959,177.14771932732285,36.43003278688525,66.69066666666667,0.046047548074173376,-0.020391316316291645
158,IFGLEXPOR.NS,550.4000244140625,39.39367742812308,609.3589978027344,638.5688787730055,543.426116344182,36.258863636363635,65.39943396226415,-0.08645648201218224,-0.012833222143971352
159,IGL.NS,413.54998779296875,16.220462949865194,527.2300006103516,605.9023256434912,406.8826749668603,36.967549295774646,61.988499999999995,0.5612242829491763,-0.01638632764752516
160,INDHOTEL.NS,691.25,53.280186114416,675.7200036621093,722.521070225378,648.1489309953251,42.2473725490196,68.63282857142858,-0.26114792233753775,-0.06649871186007669
161,INDIGO.NS,4366.10009765625,33.64834486354225,4715.72703125,4922.047681530663,4384.282445422463,39.9487619047619,68.12990909090908,0.157712448166476,0.004147166153767454
162,INFIBEAM.NS,26.260000228881836,35.356697913085384,29.278800010681152,30.77118579268079,26.39081429124255,36.6944,63.29850000000001,0.03645521079278086,0.004956802807108607
163,INFY.NS,1862.050048828125,42.944825537287485,1908.8169970703125,1983.5321368507687,1834.1778729148562,36.555157894736844,66.41710344827585,-0.17479524123381276,-0.01519600488308949
164,INOXGREEN.NS,160.52999877929688,28.659959189001142,197.89460021972656,214.7189662381563,160.9290318087187,39.19973913043478,66.9052,0.2688737265919845,0.002479559001486498
165,IOC.NS,146.30999755859375,25.30748755148234,169.66019958496094,182.1322126940354,147.6507859631912,38.65788764044944,69.95345945945947,0.3453473767924658,0.009080807771193989
166,IONEXCHANG.NS,633.0,44.24992050019197,661.265,670.6891217658605,615.3758867790615,42.68625,68.008125,-0.036631713963910344,-0.02863959020751507
167,IPCALAB.NS,1582.8499755859375,54.67415466884649,1484.5680078125,1723.474352511052,1434.7206426061352,34.49642105263158,65.59235820895522,-0.5849225224097744,-0.10324611536272937
168,IRB.NS,50.790000915527344,27.68222397019764,60.799999771118166,64.22617038259716,51.39282986154346,40.41624242424243,65.79648,0.3150718050524826,0.011729825885054173
169,IRCON.NS,193.13999938964844,26.538386297904253,235.8020004272461,236.86177378151618,196.67822713401117,37.358222222222224,65.56141176470588,0.2896239510530531,0.017989931045859373
170,IRCTC.NS,812.0999755859375,27.85297812782619,905.6560021972656,939.5517499462898,811.9182573779291,38.49518181818182,67.9366779661017,0.27645547280748695,-0.00022381342746900914
171,IRFC.NS,134.42999267578125,23.993526534685458,162.08800079345704,161.63839877475178,135.689599577299,35.17185185185185,69.35487179487178,0.31782020930404425,0.009283002569406031
172,ITC.NS,482.29998779296875,39.63826867696899,503.7980004882813,524.3598362381537,468.39517169641675,40.48922352941177,69.668,0.02101682320049022,-0.029686079056263612
173,ITDCEM.NS,533.6500244140625,42.09436240353748,549.8869995117187,649.6140259812138,510.9209776808956,41.28425531914893,68.8806896551724,-0.01962266433355757,-0.044486423000941494
174,ITI.NS,211.5500030517578,22.55263885553012,271.9129998779297,270.078318484128,213.88668090552045,36.12944578313253,61.341087378640786,0.3757823191946362,0.010924840405536105
175,IWEL.NS,10920.2001953125,33.275425563586865,12204.27404296875,13151.40198631058,11153.63805275192,37.87374545454546,75.3692888888889,0.12141180746111606,0.020929301841727217
